State,Region
Alaska,Pacific
Texas,West South Central
California,Pacific
Montana,Mountain
New Mexico,Mountain
Arizona,Mountain
Nevada,Mountain
Colorado,Mountain
Oregon,Pacific
Wyoming,Mountain
Michigan,East North Central
Minnesota,West North Central
Utah,Mountain
Idaho,Mountain
Kansas,West North Central
Nebraska,West North Central
South Dakota,West North Central
Washington,Pacific
North Dakota,West North Central
Oklahoma,West South Central
Missouri,West North Central
Florida,South Atlantic
Wisconsin,East North Central
Georgia,South Atlantic
Illinois,East North Central
Iowa,West North Central
New York,Middle Atlantic
North Carolina,South Atlantic
Arkansas,West South Central
Alabama,East South Central
Louisiana,West South Central
Mississippi,East South Central
Pennsylvania,Middle Atlantic
Ohio,East North Central
Virginia,South Atlantic
Tennessee,East South Central
Kentucky,East South Central
Indiana,East North Central
Maine,New England
South Carolina,South Atlantic
West Virginia,South Atlantic
Maryland,South Atlantic
Hawaii,Pacific
Massachusetts,New England
Vermont,New England
New Hampshire,New England
New Jersey,Middle Atlantic
Connecticut,New England
Delaware,South Atlantic
Rhode Island,New England