State,Alzheimer's,Heart,Cancer,Stroke,Respiratory,Median AQI,Hospitals,Insurance Firms,Unemp rate,Uninsured,Fast Food Centers,Population,Region
Alabama,2563,13110,10410,2931,3484,38.27777778,90,3099,4.5,449,236,5024279,East South Central
Alaska,98,814,926,190,204,22,10,415,6.5,98,14,733391,Pacific
Arizona,3058,12398,12008,2681,3802,47.23076923,78,5248,5,695,207,7151502,Mountain
Arkansas,1436,8270,6517,1612,2517,37.09090909,52,2472,3.7,232,151,3011524,West South Central
California,16238,62797,59516,16355,13881,49.01886792,340,29047,4.8,2797,676,39538223,Pacific
Colorado,1830,7060,7829,1988,2604,36.4375,57,6287,2.6,414,158,5773714,Mountain
Connecticut,1077,7138,6608,1403,1471,38.25,35,3359,4.4,194,96,3605944,New England
Delaware,377,1990,2085,571,526,41.33333333,8,1134,4.5,51,32,989948,South Atlantic
Florida,6980,46440,45131,12602,12619,36.8974359,219,18244,4.3,2676,470,21538187,South Atlantic
Georgia,4290,18389,17135,4399,4866,37.12903226,112,7910,4.8,1375,346,10711908,South Atlantic
Hawaii,465,2575,2456,764,378,52.5,14,784,2.2,53,40,1455271,Pacific
Idaho,672,3084,3020,726,925,27.38095238,18,1566,3.2,172,99,1839106,Mountain
Illinois,4021,25394,24150,6020,5732,36.23076923,142,12157,4.9,859,361,12801989,East North Central
Indiana,2771,14445,13462,3150,4375,35.51219512,100,4783,3.5,536,378,6785528,East North Central
Iowa,1597,7180,6449,1416,1939,35.77777778,39,3498,3.1,146,165,3271616,West North Central
Kansas,894,5723,5494,1355,1832,32.63636364,55,3596,3.6,249,103,2937880,West North Central
Kentucky,1765,10343,10145,2050,3480,39.07142857,73,3034,4.8,235,331,4505836,East South Central
Louisiana,2188,11260,9513,2460,2467,34.95652174,109,3873,5.1,383,237,4657757,West South Central
Maine,601,2844,3391,736,982,33.81818182,20,897,3.4,107,43,1362359,New England
Maryland,1191,11653,10796,2820,2079,39.76470588,53,4114,4,366,159,6177224,South Atlantic
Massachusetts,1841,12140,12934,2367,2842,37.46153846,72,5127,3.8,190,130,7029917,New England
Michigan,4428,25187,20671,5002,5688,35.42857143,105,6853,4.6,510,251,10077331,East North Central
Minnesota,2474,8230,9896,2250,2464,31.55,55,6007,3.5,243,148,5706494,West North Central
Mississippi,1626,7944,6526,1723,2037,35.81818182,70,2212,5.2,352,82,2961279,East South Central
Missouri,2545,14820,12971,3159,3940,35.79166667,83,5633,3.7,548,334,6154913,West North Central
Montana,285,2164,2145,487,752,30.89473684,17,1238,4.1,88,25,1084225,Mountain
Nebraska,698,3581,3502,760,1224,28.55555556,27,2536,3,157,92,1961504,West North Central
Nevada,779,6417,5283,1137,1633,38.11111111,30,2575,5,333,135,3104614,Mountain
New Hampshire,436,2721,2760,514,755,36,14,1033,2.8,77,36,1377529,New England
New Jersey,2829,18840,16264,3474,3227,38.4375,78,5994,4.5,688,150,9288994,Middle Atlantic
New Mexico,572,3896,3620,878,1143,31.875,37,1403,6.1,187,149,2117522,Mountain
New York,3521,44092,34956,6264,7258,32.61290323,187,15223,4.6,1113,266,20201249,Middle Atlantic
North Carolina,4289,18808,19474,5098,5540,36.55263158,109,6543,4.5,1076,357,10439388,South Atlantic
North Dakota,387,1326,1280,337,358,33.27272727,10,1055,2.6,56,50,779094,West North Central
Ohio,5117,28008,25643,6425,7312,35.46341463,149,8041,5,686,542,11799448,East North Central
Oklahoma,1752,10772,8203,1947,3035,35.42857143,90,3977,4,545,208,3959353,West South Central
Oregon,1850,6942,8083,2066,2088,28.69565217,36,3395,4.1,281,114,4237256,Pacific
Pennsylvania,4213,32312,28387,6700,6667,40.68421053,179,9105,5,692,283,13002700,Middle Atlantic
Rhode Island,435,2339,2154,425,521,34.33333333,11,806,4.5,48,24,1097379,New England
South Carolina,2549,10418,10356,2691,2983,35.57894737,66,3382,4.2,542,237,5118425,South Atlantic
South Dakota,444,1710,1715,414,505,31.6,24,1221,3.1,77,105,886667,West North Central
Tennessee,3522,16019,14302,3519,4657,36.82608696,98,4510,3.7,629,245,6910840,East South Central
Texas,9545,45346,40668,10790,10650,32.87755102,369,20258,4.3,4817,630,29145505,West South Central
Utah,991,3749,3161,888,826,44.21428571,36,3410,3.1,282,159,3205958,Mountain
Vermont,370,1332,1434,249,375,29.25,7,475,3,28,43,643077,New England
Virginia,2549,14861,15064,3555,3363,29.74285714,91,5526,3.7,729,327,8631393,South Atlantic
Washington,3710,11582,12664,3028,3177,26.96666667,60,5068,4.6,446,208,7705281,Pacific
West Virginia,770,4849,4654,1058,1681,31.5,33,1109,5.2,109,93,1793716,South Atlantic
Wisconsin,2428,11860,11318,2513,2834,35.67857143,82,4597,3.3,309,186,5893718,East North Central
Wyoming,212,1001,948,190,366,38.47058824,14,662,4.3,70,41,576851,Mountain